Country;GDP - per capita (PPP) ;
;;
Israel ;"$29,800 (2010 est.) 
$29,000 (2009 est.) 
$29,300 (2008 est.) 
note: data are in 2010 US dollars ";29,800
;;#VALUE!
Italy ;"$30,500 (2010 est.) 
$30,100 (2009 est.) 
$31,800 (2008 est.) 
note: data are in 2010 US dollars ";30,500
;;#VALUE!
Jamaica ;"$8,300 (2010 est.) 
$8,500 (2009 est.) 
$8,800 (2008 est.) 
note: data are in 2010 US dollars ";8,300
;;#VALUE!
Japan ;"$34,000 (2010 est.) 
$32,600 (2009 est.) 
$34,800 (2008 est.) 
note: data are in 2010 US dollars ";34,000
;;#VALUE!
Jersey ;$57,000 (2005 est.) ;57,000
;;#VALUE!
Jordan ;"$5,400 (2010 est.) 
$5,300 (2009 est.) 
$5,300 (2008 est.) 
note: data are in 2010 US dollars ";5,400
;;#VALUE!
Kazakhstan ;"$12,700 (2010 est.) 
$11,900 (2009 est.) 
$11,800 (2008 est.) 
note: data are in 2010 US dollars ";12,700
;;#VALUE!
Kenya ;"$1,600 (2010 est.) 
$1,600 (2009 est.) 
$1,600 (2008 est.) 
note: data are in 2010 US dollars ";1,600
;;#VALUE!
Kiribati ;"$6,200 (2010 est.) 
$6,200 (2009 est.) 
$6,300 (2008 est.) 
note: data are in 2010 US dollars ";6,200
;;#VALUE!
Korea, North ;"$1,800 (2009 est.) 
$1,800 (2009 est.) 
$1,900 (2008 est.) 
note: data are in 2010 US dollars ";1,800
;;#VALUE!
Korea, South ;"$30,000 (2010 est.) 
$28,300 (2009 est.) 
$28,400 (2008 est.) 
note: data are in 2010 US dollars ";30,000
;;#VALUE!
Kosovo ;"$6,600 (2010 est.) 
$6,400 (2009 est.) 
$5,300 (2008 est.) ";6,600
;;#VALUE!
Kuwait ;"$48,900 (2010 est.) 
$49,700 (2009 est.) 
$54,300 (2008 est.) 
note: data are in 2010 US dollars ";48,900
;;#VALUE!
Kyrgyzstan ;"$2,200 (2010 est.) 
$2,200 (2009 est.) 
$2,200 (2008 est.) 
note: data are in 2010 US dollars ";2,200
;;#VALUE!
Laos ;"$2,500 (2010 est.) 
$2,300 (2009 est.) 
$2,200 (2008 est.) 
note: data are in 2010 US dollars ";2,500
;;#VALUE!
Latvia ;"$14,700 (2010 est.) 
$14,600 (2009 est.) 
$17,700 (2008 est.) 
note: data are in 2010 US dollars ";14,700
;;#VALUE!
Lebanon ;"$14,400 (2010 est.) 
$13,500 (2009 est.) 
$12,600 (2008 est.) 
note: data are in 2010 US dollars ";14,400
;;#VALUE!
Lesotho ;"$1,700 (2010 est.) 
$1,700 (2009 est.) 
$1,600 (2008 est.) 
note: data are in 2010 US dollars ";1,700
;;#VALUE!
Liberia ;"$500 (2010 est.) 
$400 (2009 est.) 
$400 (2008 est.) 
note: data are in 2010 US dollars ";500
;;#VALUE!
Libya ;"$14,000 (2010 est.) 
$13,700 (2009 est.) 
$14,400 (2008 est.) 
note: data are in 2010 US dollars ";14,000
;;#VALUE!
Liechtenstein ;"$141,100 (2008 est.) 
$122,100 (2007 est.) ";141,100
;;#VALUE!
Lithuania ;"$16,000 (2010 est.) 
$15,700 (2009 est.) 
$18,400 (2008 est.) 
note: data are in 2010 US dollars ";16,000
;;#VALUE!
Luxembourg ;"$82,600 (2010 est.) 
$80,800 (2009 est.) 
$84,900 (2008 est.) 
note: data are in 2010 US dollars ";82,600
;;#VALUE!
Macau ;"$33,000 (2009) 
$31,800 (2008) 
$28,400 (2006) ";33,000
;;#VALUE!
Macedonia ;"$9,700 (2010 est.) 
$9,600 (2009 est.) 
$9,700 (2008 est.) 
note: data are in 2010 US dollars ";9,700
;;#VALUE!
Madagascar ;"$900 (2010 est.) 
$1,000 (2009 est.) 
$1,000 (2008 est.) 
note: data are in 2010 US dollars ";900
;;#VALUE!
Malawi ;"$800 (2010 est.) 
$800 (2009 est.) 
$800 (2008 est.) 
note: data are in 2010 US dollars ";800
;;#VALUE!
Malaysia ;"$14,700 (2010 est.) 
$13,900 (2009 est.) 
$14,400 (2008 est.) 
note: data are in 2010 US dollars ";14,700
;;#VALUE!
Maldives ;"$6,900 (2010 est.) 
$6,400 (2009 est.) 
$6,900 (2008 est.) 
note: data are in 2010 US dollars ";6,900
;;#VALUE!
Mali ;"$1,200 (2010 est.) 
$1,200 (2009 est.) 
$1,200 (2008 est.) 
note: data are in 2010 US dollars ";1,200
;;#VALUE!
Malta ;"$25,600 (2010 est.) 
$24,800 (2009 est.) 
$25,800 (2008 est.) 
note: data are in 2010 US dollars ";25,600
;;#VALUE!
Marshall Islands ;"$2,500 (2008 est.) 
$2,900 (2005 est.) ";2,500
;;#VALUE!
Mauritania ;"$2,100 (2010 est.) 
$2,000 (2009 est.) 
$2,100 (2008 est.) 
note: data are in 2010 US dollars ";2,100
;;#VALUE!
Mauritius ;"$14,000 (2010 est.) 
$13,500 (2009 est.) 
$13,200 (2008 est.) 
note: data are in 2010 US dollars ";14,000
;;#VALUE!
Mexico ;"$13,900 (2010 est.) 
$13,400 (2009 est.) 
$14,400 (2008 est.) 
note: data are in 2010 US dollars ";13,900
;;#VALUE!
Micronesia, Federated States of ;"$2,200 (2008 est.) 
$2,300 (2005 est.) 
note: data are in 2008 US dollars ";2,200
;;#VALUE!
Moldova ;"$2,500 (2010 est.) 
$2,400 (2009 est.) 
$2,500 (2008 est.) 
note: data are in 2010 US dollars ";2,500
;;#VALUE!
Monaco ;$30,000 (2006 est.) ;30,000
;;#VALUE!
Mongolia ;"$3,600 (2010 est.) 
$3,400 (2009 est.) 
$3,500 (2008 est.) 
note: data are in 2010 US dollars ";3,600
;;#VALUE!
Montenegro ;"$10,100 (2010 est.) 
$9,900 (2009 est.) 
$10,400 (2008 est.) 
note: data are in 2010 US dollars ";10,100
;;#VALUE!
Montserrat ;$3,400 (2002 est.) ;3,400
;;#VALUE!
Morocco ;"$4,800 (2010 est.) 
$4,700 (2009 est.) 
$4,500 (2008 est.) 
note: data are in 2010 US dollars ";4,800
;;#VALUE!
Mozambique ;"$1,000 (2010 est.) 
$900 (2009 est.) 
$900 (2008 est.) 
note: data are in 2010 US dollars ";1,000
;;#VALUE!
Namibia ;"$6,900 (2010 est.) 
$6,600 (2009 est.) 
$6,700 (2008 est.) 
note: data are in 2010 US dollars ";6,900
;;#VALUE!
Nauru ;$5,000 (2005 est.) ;5,000
;;#VALUE!
Nepal ;"$1,200 (2010 est.) 
$1,200 (2009 est.) 
$1,200 (2008 est.) 
note: data are in 2010 US dollars ";1,200
;;#VALUE!
Netherlands ;"$40,300 (2010 est.) 
$39,800 (2009 est.) 
$41,600 (2008 est.) 
note: data are in 2010 US dollars ";40,300
;;#VALUE!
New Caledonia ;$15,000 (2003 est.) ;15,000
;;#VALUE!
New Zealand ;"$27,700 (2010 est.) 
$27,500 (2009 est.) 
$28,400 (2008 est.) 
note: data are in 2010 US dollars ";27,700
;;#VALUE!
Nicaragua ;"$3,000 (2010 est.) 
$2,900 (2009 est.) 
$3,000 (2008 est.) 
note: data are in 2010 US dollars ";3,000
;;#VALUE!
Niger ;"$700 (2010 est.) 
$700 (2009 est.) 
$700 (2008 est.) 
note: data are in 2010 US dollars ";700
;;#VALUE!
Nigeria ;"$2,500 (2010 est.) 
$2,300 (2009 est.) 
$2,200 (2008 est.) 
note: data are in 2010 US dollars ";2,500
;;#VALUE!
Niue ;$5,800 (2003 est.) ;5,800
;;#VALUE!
Northern Mariana Islands ;$12,500 (2000 est.) ;12,500
;;#VALUE!
Norway ;"$54,600 (2010 est.) 
$54,500 (2009 est.) 
$55,500 (2008 est.) 
note: data are in 2010 US dollars ";54,600
;;#VALUE!
Oman ;"$25,600 (2010 est.) 
$25,000 (2009 est.) 
$25,200 (2008 est.) 
note: data are in 2010 US dollars ";25,600
;;#VALUE!
Pakistan ;"$2,500 (2010 est.) 
$2,400 (2009 est.) 
$2,400 (2008 est.) 
note: data are in 2010 US dollars ";2,500
;;#VALUE!
Palau ;"$8,100 (2008 est.) 
$7,600 (2005 est.) ";8,100
;;#VALUE!
