Overall rank;Country;Happiness Score;GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption;nativity;migration;health_expend;educ_expend;gdp;taxes;budget;milit
83;Mongolia;5.285;0.948;1.531;0.667;0.317;0.235;0.038;18.2;-0.8;3.8;4.1;13000.0;26.6;-6.4;0.68
84;North Macedonia;5.274;0.983;1.294;0.838;0.345;0.185;0.034;10.8;0.7;6.3;;14900.0;29.0;-2.7;1.19
85;Nigeria;5.265;0.696;1.111;0.245;0.426;0.215;0.041;35.2;-0.2;3.6;;5900.0;3.4;-1.8;0.51
86;Kyrgyzstan;5.261;0.551;1.438;0.723;0.508;0.3;0.023;21.6;-5.1;6.6;7.2;3700.0;28.7;-3.2;1.57
87;Turkmenistan;5.247;1.052;1.538;0.657;0.394;0.244;0.028;18.9;-1.8;6.6;3.1;18200.0;14.9;-2.8;
88;Algeria;5.211;1.002;1.16;0.785;0.086;0.073;0.114;21.5;-0.9;6.6;;15200.0;32.3;-9.6;5.27
89;Morocco;5.208;0.801;0.782;0.782;0.418;0.036;0.076;17.5;-3.1;5.8;5.3;8600.0;20.9;-3.6;3.1
90;Azerbaijan;5.208;1.043;1.147;0.769;0.351;0.035;0.182;15.3;0.0;6.9;2.5;17500.0;23.5;-1.6;3.77
91;Lebanon;5.197;0.987;1.224;0.815;0.216;0.166;0.027;14.1;-40.3;8.0;2.5;19600.0;21.5;-6.9;4.99
92;Indonesia;5.192;0.931;1.203;0.66;0.491;0.498;0.028;15.9;-1.1;3.1;3.6;12400.0;13.0;-2.7;0.72
93;China;5.191;1.029;1.125;0.893;0.521;0.058;0.1;12.1;-0.4;5.0;;18200.0;21.3;-3.8;1.87
94;Vietnam;5.175;0.741;1.346;0.851;0.543;0.147;0.073;15.2;-0.3;5.7;5.7;6900.0;24.8;-6.7;2.3
95;Bhutan;5.082;0.813;1.321;0.604;0.457;0.37;0.167;17.0;0.0;3.5;6.6;9000.0;27.2;-3.4;
96;Cameroon;5.044;0.549;0.91;0.331;0.381;0.187;0.037;35.0;-0.1;4.7;3.1;3700.0;15.3;-3.4;1.25
97;Bulgaria;5.011;1.092;1.513;0.815;0.311;0.081;0.004;8.5;-0.3;8.2;4.1;21800.0;35.7;1.8;3.25
98;Ghana;4.996;0.611;0.868;0.486;0.381;0.245;0.04;30.2;-1.7;4.4;3.6;4700.0;20.3;-6.0;0.41
99;Ivory Coast;4.944;0.569;0.808;0.232;0.352;0.154;0.09;30.1;1.3;4.4;5.1;3900.0;19.1;-4.2;1.36
100;Nepal;4.913;0.446;1.226;0.677;0.439;0.285;0.089;19.1;-2.5;6.3;5.2;2700.0;23.8;-0.1;1.44
101;Jordan;4.906;0.837;1.225;0.815;0.383;0.11;0.13;23.6;0.0;5.5;3.6;9200.0;23.6;-5.1;4.68
102;Benin;4.883;0.393;0.437;0.397;0.349;0.175;0.082;34.5;0.0;3.9;4.0;2300.0;17.1;-6.2;0.86
103;Congo (Brazzaville);4.812;0.673;0.799;0.508;0.372;0.105;0.093;33.7;-2.8;4.6;4.6;6800.0;22.5;-7.0;2.55
104;Gabon;4.799;1.057;1.183;0.571;0.295;0.043;0.055;26.5;7.0;3.1;2.7;18100.0;17.6;-1.9;1.53
105;Laos;4.796;0.764;1.03;0.551;0.547;0.266;0.164;23.2;-1.0;2.4;2.9;7400.0;18.3;-5.5;0.19
106;South Africa;4.722;0.96;1.351;0.469;0.389;0.13;0.055;19.9;-0.9;8.1;6.2;13600.0;26.6;-4.4;0.98
107;Albania;4.719;0.947;0.848;0.874;0.383;0.178;0.027;13.2;-3.3;6.7;4.0;12500.0;27.6;-2.0;1.26
108;Venezuela;4.707;0.96;1.427;0.805;0.154;0.064;0.047;18.5;-1.2;3.2;6.9;12500.0;44.2;-46.1;0.49
109;Cambodia;4.7;0.574;1.122;0.637;0.609;0.232;0.062;22.5;-0.3;6.1;1.9;4000.0;17.9;-1.8;2.21
110;Palestinian Territories;4.696;0.657;1.247;0.672;0.225;0.103;0.066;;;;;;;;
111;Senegal;4.681;0.45;1.134;0.571;0.292;0.153;0.072;32.9;-1.4;5.5;4.8;3500.0;19.6;-3.6;1.38
112;Somalia;4.668;0.0;0.698;0.268;0.559;0.243;0.27;39.3;-5.6;;;;2.1;-0.1;
113;Namibia;4.639;0.879;1.313;0.477;0.401;0.07;0.056;26.8;0.0;9.1;3.1;11200.0;32.2;-5.5;3.35
114;Niger;4.628;0.138;0.774;0.366;0.318;0.188;0.102;43.6;-0.5;6.2;3.5;1200.0;21.4;-5.0;2.45
115;Burkina Faso;4.587;0.331;1.056;0.38;0.255;0.177;0.113;36.9;-0.7;6.8;4.2;1900.0;21.2;-7.9;2.06
116;Armenia;4.559;0.85;1.055;0.815;0.283;0.095;0.064;12.6;-5.6;9.9;2.7;9500.0;22.9;-4.8;4.25
117;Iran;4.548;1.1;0.842;0.785;0.305;0.27;0.125;17.4;-0.2;8.1;4.0;20100.0;17.3;-2.3;2.67
118;Guinea;4.534;0.38;0.829;0.375;0.332;0.207;0.086;36.4;0.0;5.5;2.2;2200.0;16.6;-0.5;2.47
119;Georgia;4.519;0.886;0.666;0.752;0.346;0.043;0.164;12.1;-1.1;8.4;3.8;10700.0;28.7;-3.8;2.3
120;Gambia;4.516;0.308;0.939;0.428;0.382;0.269;0.167;28.6;-1.8;4.4;2.1;2600.0;20.3;-2.6;3.0
121;Kenya;4.509;0.512;0.983;0.581;0.431;0.372;0.053;22.6;-0.2;4.5;5.2;3500.0;17.6;-6.7;1.3
122;Mauritania;4.49;0.57;1.167;0.489;0.066;0.106;0.088;29.9;-0.8;4.2;2.6;4500.0;27.4;-0.8;3.02
123;Mozambique;4.466;0.204;0.986;0.39;0.494;0.197;0.138;37.8;-1.8;5.1;6.5;1300.0;26.7;-5.6;0.99
124;Tunisia;4.461;0.921;1.0;0.815;0.167;0.059;0.055;17.4;-1.6;7.0;6.6;11900.0;24.7;-5.8;2.09
125;Bangladesh;4.456;0.562;0.928;0.723;0.527;0.166;0.143;18.6;-3.0;2.4;2.0;4200.0;9.6;-3.2;1.37
126;Iraq;4.437;1.043;0.98;0.574;0.241;0.148;0.089;30.0;-1.1;3.3;;16700.0;35.7;-4.2;2.73
127;Congo (Kinshasa);4.418;0.094;1.125;0.357;0.269;0.212;0.053;32.8;-0.1;3.9;1.5;800.0;11.2;-0.9;0.67
128;Mali;4.39;0.385;1.105;0.308;0.327;0.153;0.052;43.2;-3.9;3.8;3.1;2200.0;20.0;-2.9;2.87
129;Sierra Leone;4.374;0.268;0.841;0.242;0.309;0.252;0.045;36.0;-1.8;16.5;4.6;1600.0;15.6;-7.9;0.8
130;Sri Lanka;4.366;0.949;1.265;0.831;0.47;0.244;0.047;14.8;-1.3;3.9;2.8;12900.0;13.8;-5.5;1.89
